Gene	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos
EPB41L3	28.2771875984286	98.2189394625	98.2597110775	284.396518985714	27.369458687375	31.985523968125	31.047167947	192.5590320375	101.1292099325
FOXO1	322.992823235714	507.170018675	305.733746575	2640.28984871429	225.297046325	391.2117168975	742.410835	1982.51355795	894.670013375
BEND7	36.7173915282857	125.7292834875	171.83910936875	412.995671491071	20.217039005	33.5532871195	72.355268314375	330.353519940875	88.5382105955
CYP2J2	31.45289864	100.40751305	36.8017238025	160.083559242857	13.032307133375	13.1001451405	66.0122849545	91.7611972725	54.534658755
SNX7	56.6400715427857	103.603728821625	41.68619401625	318.053051442857	33.9394956535625	22.544672878	114.85612953	176.153324851875	144.512338965
CHMP4C	61.0638512142857	80.42934117	293.88424235	520.435072271429	30.10120515475	39.797211995	126.1663666525	418.8958574125	146.0984783575
SPAG17	43.223417517	139.5861937525	125.229949535	243.920523102857	25.01403512725	36.90053855575	57.6389166825	74.15215693125	29.3740562275
LDOC1	179.954802918571	769.74035405	480.362652975	1862.69626257143	223.32192058875	292.50642919125	291.2937718	1565.816624625	914.5705335
PDE4B	166.818966167143	404.310209775	701.250313775	2039.68387178571	226.46455425375	353.8080586	73.386865695	1246.6874327875	1662.009332025
HEG1	92.7710229685714	144.6379336775	196.0800659525	324.495620385714	20.027671186	25.71575181425	60.329026075	257.7908255125	117.3470087125
MLF1	41.9553109728571	112.67350633	65.175669855	399.712391657143	39.60579998375	38.6374409785	191.1598588875	319.257335355	114.85746556
NAALAD2	12.3505747082857	35.86847347425	33.3076993225	82.7690421128572	8.226992153875	14.98405351	48.1788908615	43.470464015	43.482492827
GPRASP1	231.344297428571	209.5673959475	390.94080529	1286.49118147143	139.055993785	191.94629725	206.816356875	919.2531427625	401.37790125
LRRC33	494.56821052	33.9277519575	52.7432515725	167.949957174286	1011.3477338875	704.5639423875	62.127621635	173.3147040275	159.073405675
CTSA	2877.082076	719.49012415	925.463884175	666.164577928571	4259.745613375	4227.6014757625	711.95639465	714.781160875	644.043420425
PFN1	1604.63711985714	910.22648595	1068.53495445	287.266806628571	2952.134980625	2015.7227576875	1203.81801385	374.16299075	441.12607215
PLP2	2818.27069361429	1038.905752475	1135.392898325	1168.7269079	6168.675948375	5545.1405176625	459.268010875	1110.937869275	2781.696304
CD99	3427.76797402143	1469.39290125	2162.979810625	1719.53660578571	7934.7091243125	7309.635660925	1267.7006101	1820.5517283375	4263.861674
DAD1	4856.04224057143	2926.761151	926.1121373	1944.61105928571	7427.586092	6292.898535375	1125.73784925	2302.355056875	1674.8464695
UCK2	551.991006042857	280.603170175	683.896854125	389.838772014286	1275.520730975	1022.9692414625	229.2062735625	488.495878725	345.7748917
FUT4	634.352171621429	269.11608911625	397.11116231375	286.127705593571	1009.93397405625	835.63611265	142.75356089875	272.183787375	244.7360406625
MSN	3088.82484742857	1774.4871705	2020.3877515	2552.84308257143	6860.508085625	5079.42456075	1332.4294016	2864.83975825	2213.2252875
HAT1	1863.46534922857	1676.45583075	1410.0678677	1883.18155542857	4067.82333625	3068.945427125	662.036671525	1916.605937875	1328.1010565
ADK	589.915976028571	723.3285257	610.457014925	407.937147671429	1282.6195646875	1011.0863431375	497.97836065	405.1219941125	416.02687555
C19orf70	1085.21205875714	516.08706565	602.898389525	457.399011514286	1610.2573558125	909.6703280125	973.99503505	589.0163417375	598.15527895
HSPC152	3971.35032814286	1853.3418154	1772.395902	2765.957787	6718.42637225	4679.23890625	2438.5987345	2794.11789875	2499.59019025
FUCA2	546.268933271429	650.345538525	782.5901235	388.500236742857	1117.064439075	718.437182475	348.37894235	331.2998512875	228.2071132
CD63	6733.62793557143	2880.807264625	2290.861982875	2010.19729621429	6801.1512015625	5550.8890821875	2160.260544375	2243.7661831875	2074.119957
CDC123	2879.30875514286	1712.51074275	1935.619992325	2646.13694485714	6242.476970625	5461.33020475	1633.57343825	2749.543524375	2208.1511255
MRPL18	1554.8451034	1093.5234904	1133.736513725	1322.71836848571	3304.4566675	2929.026452	1456.764039675	1299.9876115875	1084.70354445
GLOD4	1597.87252314286	621.903209025	768.307077175	1087.81570311429	2359.1514625	1727.2547897	773.293602175	1010.0707245625	781.498470775
NIT2	3254.22856228571	1255.8789507	1766.0580975	1836.88135328571	4613.949364	4266.749461375	1097.66648585	1940.823053625	1591.93569075
SRP54	1285.30809042857	557.012759825	479.12500705	907.328836128571	1936.1454145	1855.8333406	576.70417105	892.059204825	574.8089479
PRDX5	4200.59691885714	1807.94357625	1851.293236275	2133.70996042857	5699.713066125	3974.7493515	1845.46849765	2333.603694	4057.4893195
